,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Lat,Long
375,Samana,0,DO,1580537233,98,292.89,0.65,19.21,-69.34
376,Billings,40,US,1580537201,42,280.93,10.3,45.78,-108.5
377,Oussouye,0,SN,1580537236,15,293.07,2.76,12.48,-16.55
378,Broome,90,US,1580537237,100,273.71,1.36,42.25,-75.83
379,Rio Gallegos,100,AR,1580537238,87,283.15,1.5,-51.62,-69.22
380,Pangnirtung,20,CA,1580537239,69,248.15,1.5,66.15,-65.71
381,Prince Albert,40,CA,1580536967,73,268.15,2.6,53.2,-105.77
382,Esperance,75,AU,1580537241,38,296.15,6.7,-33.87,121.9
383,Ahipara,30,NZ,1580537243,58,300.93,0.45,-35.17,173.17
384,Vao,0,NC,1580537244,83,299.52,6.21,-22.67,167.48
385,Tuensang,23,IN,1580537245,70,288.01,1.82,26.28,94.83
386,Iqaluit,40,CA,1580536648,84,254.26,3.6,63.75,-68.51
387,Sioux Lookout,90,CA,1580537247,86,270.15,5.1,50.1,-91.92
388,Sao Domingos,3,BR,1580537249,78,291.46,0.74,-13.4,-46.32
389,San Quintin,0,MX,1580537250,57,288.57,1.56,30.48,-115.95
390,Corning,90,US,1580537251,98,273.71,0.84,42.14,-77.05
391,Hobbs,1,US,1580537252,37,273.71,4.1,32.7,-103.14
392,Waipawa,65,NZ,1580537253,72,293.71,11.3,-41.41,175.52
393,Omaruru,98,NA,1580537255,34,296.48,1.12,-21.43,15.93
394,Lavrentiya,100,RU,1580536667,96,249.93,3.55,65.58,-171.0
395,Asandh,0,IN,1580537257,50,288.95,1.94,29.52,76.6
396,Kautokeino,100,NO,1580537258,94,259.67,6.79,69.01,23.04
397,Tigzirt,0,DZ,1580537259,70,287.82,5.68,36.89,4.12
398,Saquarema,68,BR,1580537261,83,300.15,3.1,-22.92,-42.51
399,Hindaun,0,IN,1580537262,38,290.88,1.48,26.72,77.02
400,Kloulklubed,75,PW,1580537263,62,304.15,5.7,7.04,134.26
401,Gizo,100,SB,1580537264,85,299.88,2.14,-8.1,156.84
402,Kirkenes,75,NO,1580537265,77,259.15,20.1,69.73,30.05
403,Yangi Marg`ilon,13,UZ,1580537267,32,278.1,2.17,40.43,71.72
404,Bodden Town,0,KY,1580537268,83,298.71,0.89,19.28,-81.25
405,Xaxim,17,BR,1580537269,83,295.15,0.71,-26.96,-52.53
406,Matara,0,LK,1580537270,43,304.36,3.3,5.95,80.54
407,Xai-Xai,0,MZ,1580537271,65,299.88,2.4,-25.05,33.64
408,Sri Aman,75,MY,1580537272,58,304.15,2.6,1.24,111.46
409,Quatre Cocos,40,MU,1580537274,78,301.48,6.7,-20.21,57.76
410,Sibolga,52,ID,1580537275,50,305.4,1.68,1.74,98.78
411,Vinh,88,VN,1580537276,77,293.32,2.6,18.67,105.67
412,Nguruka,90,TZ,1580537277,89,293.42,1.68,-5.11,31.04
413,Sawakin,81,SD,1580537278,77,295.3,8.14,19.11,37.33
414,Hervey Bay,40,AU,1580537280,62,302.59,6.2,-25.3,152.85
415,Burns Lake,97,CA,1580537281,97,270.12,0.59,54.23,-125.75
416,Igis,11,CH,1580537283,81,282.15,2.6,46.95,9.57
417,Polyarny,90,RU,1580537284,76,252.15,2.0,69.2,33.45
418,Akdepe,83,TM,1580537285,41,276.15,5.1,42.06,59.38
419,Soure,98,BR,1580537286,87,297.33,2.28,-0.72,-48.52
420,Avera,90,US,1580537287,100,278.15,3.1,33.19,-82.53
421,North Battleford,20,CA,1580537289,63,271.15,1.5,52.78,-108.28
422,Hirara,40,JP,1580537290,48,291.15,3.6,24.8,125.28
423,Le Port,75,RE,1580537291,65,301.15,9.3,-20.94,55.29
424,Lopatino,100,RU,1580537292,97,269.61,2.56,52.62,45.81
425,Kletskaya,93,RU,1580537293,94,272.59,3.15,49.31,43.06
426,Bishoftu,90,ET,1580537295,76,287.15,1.0,8.75,38.98
427,Aginskoye,0,RU,1580537296,63,257.31,7.72,51.1,114.53
428,Comodoro Rivadavia,18,AR,1580537105,40,294.15,9.3,-45.87,-67.5
429,Bereda,40,ES,1580537298,87,289.82,5.1,43.27,-7.54
430,Kitui,100,KE,1580537299,94,292.57,1.69,-1.37,38.01
431,Chlorakas,75,CY,1580537301,67,287.15,5.7,34.8,32.41
432,Nova Ushytsya,100,UA,1580537302,89,279.26,3.13,48.84,27.27
433,Imbituba,75,BR,1580537303,94,296.15,2.1,-28.24,-48.67
434,Tazovsky,43,RU,1580537304,94,246.65,0.75,67.47,78.7
435,Bima,32,ID,1580537305,72,302.01,1.14,-8.47,118.72
436,Shibetsu,75,JP,1580537307,73,270.15,5.1,43.66,145.13
437,Dicabisagan,100,PH,1580537308,85,293.15,3.76,17.08,122.42
438,Moberly,1,US,1580537309,93,276.15,2.67,39.42,-92.44
439,Ellensburg,1,US,1580537210,66,289.15,7.2,47.0,-120.55
440,Takoradze,63,GH,1580537311,97,297.15,0.59,4.88,-1.76
441,Araouane,0,ML,1580537313,16,290.3,4.39,18.9,-3.53
442,Assiut,0,EG,1580537314,59,282.4,3.16,27.18,31.18
443,Mahibadhoo,15,MV,1580537315,71,300.65,7.19,3.78,72.97
444,Toowoomba,0,AU,1580537316,35,305.37,3.6,-27.55,151.97
445,Sobolevo,100,RU,1580537317,98,273.26,0.74,54.43,31.9
446,Pedasi,5,PA,1580537319,80,299.33,7.14,7.53,-80.03
447,Marsala,75,IT,1580537320,81,284.26,3.1,37.8,12.44
448,Drymen,100,GB,1580537321,93,282.15,12.9,56.07,-4.45
449,Luancheng,100,CN,1580537322,25,277.15,2.0,37.88,114.65
450,Mentakab,75,MY,1580537323,60,304.26,2.97,3.49,102.35
451,Jalu,0,LY,1580537325,63,284.76,1.37,29.03,21.55
452,Jalingo,45,NG,1580537326,22,291.65,2.97,8.88,11.37
453,Luwuk,100,ID,1580537327,66,303.49,5.38,-0.95,122.79
454,Xinmin,0,CN,1580537328,42,271.15,1.0,41.99,122.83
455,Ambunti,100,PG,1580537329,98,296.85,1.67,-4.24,142.84
456,Karabash,100,RU,1580537331,87,266.5,1.77,55.48,60.22
457,Bongandanga,66,CD,1580537332,62,298.0,0.52,1.5,21.05
458,Wangkui,43,CN,1580537333,79,261.0,5.36,46.83,126.5
459,Adre,1,TD,1580537334,20,286.71,7.49,13.47,22.2
460,Ulaangom,41,MN,1580537335,93,253.42,0.98,49.98,92.07
461,Lahaina,20,US,1580537283,64,297.15,7.2,20.88,-156.68
462,Grindavik,100,IS,1580537338,86,270.15,1.0,63.84,-22.43
463,Maumere,100,ID,1580537339,80,300.58,3.05,-8.62,122.21
464,Antsohihy,98,MG,1580537340,72,300.58,1.53,-14.88,47.99
465,Shintomi,20,JP,1580537341,53,286.15,4.6,32.08,131.47
466,Maniitsoq,0,GL,1580537342,70,262.3,0.79,65.42,-52.9
467,Caravelas,0,BR,1580537344,83,299.5,5.18,-17.71,-39.25
468,Barra do Garcas,51,BR,1580537265,91,295.15,0.91,-15.89,-52.26
469,Wawa,80,NG,1580537346,28,294.27,2.86,9.9,4.42
470,Abonnema,24,NG,1580537347,85,297.64,1.55,4.71,6.79
471,Arona,16,ES,1580537348,18,295.15,3.1,28.1,-16.68
472,Taoudenni,0,ML,1580537338,18,284.54,2.01,22.68,-3.98
473,Hambantota,20,LK,1580537351,66,303.15,7.2,6.12,81.12
474,Muros,90,ES,1580537352,100,287.59,5.1,42.78,-9.06
475,Koslan,100,RU,1580537353,98,252.98,1.25,63.46,48.9
476,Ciudad Lazaro Cardenas,77,MX,1580537354,85,294.44,1.37,17.96,-102.2
477,Nyurba,92,RU,1580537356,96,247.65,2.03,63.28,118.33
478,Vila Velha,100,BR,1580537268,78,299.15,5.7,-20.33,-40.29
479,Acajutla,0,SV,1580537358,74,299.96,2.72,13.59,-89.83
480,Irricana,20,CA,1580537359,86,275.93,1.5,51.32,-113.6
481,Hailey,1,US,1580537360,85,269.15,4.1,43.52,-114.32
482,Netrakona,0,BD,1580537361,32,297.75,0.4,24.88,90.72
483,Abtenau,99,AT,1580537363,86,279.82,4.6,47.56,13.35
484,Bafra,75,TR,1580537364,56,278.15,2.1,41.57,35.91
485,Aasiaat,78,GL,1580537365,99,251.8,1.61,68.71,-52.87
486,Cayenne,40,GF,1580537366,88,297.15,1.0,4.93,-52.33
487,Ponta Pora,84,BR,1580537367,90,294.13,0.84,-22.54,-55.73
488,Andenes,100,NO,1580537369,69,275.15,12.9,69.31,16.12
489,Zaoyang,95,CN,1580537370,46,286.02,3.59,32.13,112.75
490,Camacha,75,PT,1580537371,93,290.15,1.5,33.08,-16.33
491,Kulhudhuffushi,12,MV,1580537372,75,300.71,4.47,6.62,73.07
492,Montepuez,100,MZ,1580537373,87,296.46,2.81,-13.13,39.0
493,Hendek,75,TR,1580537375,87,279.15,1.5,40.8,30.75
494,The Valley,20,AI,1580537376,83,298.15,3.1,18.22,-63.06
495,Gidole,87,ET,1580537377,76,293.17,0.91,5.65,37.37
496,Roald,90,NO,1580537378,90,276.15,1.5,62.58,6.13
497,Sept-Iles,5,CA,1580537379,84,254.15,1.0,50.2,-66.38
498,Liverpool,40,GB,1580537381,76,283.15,9.3,53.41,-2.98
499,Mudanya,75,TR,1580537382,93,283.15,0.5,40.38,28.88
500,Alice Springs,75,AU,1580537383,70,302.15,9.3,-23.7,133.88
501,Batagay-Alyta,100,RU,1580537384,99,247.39,1.02,67.8,130.41
502,Basco,98,PH,1580537385,66,292.86,8.43,20.45,121.97
503,Isla Vista,1,US,1580537299,71,288.71,2.1,34.41,-119.86
504,Trincomalee,31,LK,1580537388,51,302.88,3.28,8.57,81.23
505,Kamenka,97,RU,1580537389,96,274.26,0.89,51.32,42.77
506,Moron,0,AR,1580537390,56,296.15,2.1,-34.65,-58.62
507,Paracatu,100,BR,1580537220,93,293.86,1.56,-17.22,-46.87
508,Boyolangu,100,ID,1580537393,62,304.21,0.25,-8.12,111.89
509,Bairiki Village,20,KI,1580537394,66,305.15,3.6,1.33,172.98
510,Coahuayana Viejo,40,MX,1580537395,77,292.15,1.98,18.73,-103.68
511,Mecca,63,SA,1580537396,55,293.1,1.58,21.43,39.83
512,Belen,40,TR,1580537398,31,282.15,3.1,36.49,36.22
513,Kurumkan,79,RU,1580537399,95,250.27,1.04,54.3,110.3
514,Sovetskoye,28,RU,1580537400,86,259.56,2.98,52.29,85.41
515,Aguia Branca,20,BR,1580537401,93,294.32,1.18,-18.98,-40.74
516,Aksay,90,RU,1580537403,100,272.15,5.0,47.26,39.87
517,Kumluca,13,TR,1580537404,45,279.58,1.2,36.37,30.29
518,Camacari,40,BR,1580537169,78,300.15,3.1,-12.7,-38.32
519,Nova Bana,75,SK,1580537406,100,280.37,1.0,48.42,18.64
520,Lunino,99,RU,1580537408,88,273.71,1.94,53.59,45.23
521,Srandakan,86,ID,1580537409,65,303.52,2.92,-7.94,110.25
522,Itaituba,6,BR,1580537410,99,294.42,0.64,-4.28,-55.98
523,Mbini,100,GQ,1580537412,82,300.18,2.45,1.57,9.61
524,San Luis,0,AR,1580537413,36,298.07,5.57,-33.3,-66.34
525,Oktyabrskiy,100,RU,1580537414,94,267.89,3.18,54.48,53.47
526,Sawtell,0,AU,1580537416,65,305.37,11.8,-30.38,153.1
527,Vryburg,0,ZA,1580537417,26,299.45,2.35,-26.96,24.73
528,Gouyave,40,GD,1580537418,83,300.15,4.1,12.16,-61.73
529,Kalmunai,31,LK,1580537346,67,300.18,4.43,7.42,81.82
530,Troitskoye,17,RU,1580537421,84,260.38,2.58,52.98,84.68
531,Kota Belud,75,MY,1580537422,59,305.15,2.1,6.35,116.43
532,Esim,63,GH,1580537423,97,297.15,0.59,4.87,-2.24
533,Qasigiannguit,30,GL,1580537425,84,257.15,2.6,68.82,-51.19
534,Wattegama,20,LK,1580537426,66,303.15,7.2,6.8,81.48
535,Mujiayingzi,5,CN,1580537427,23,269.37,4.2,42.12,118.78
536,Terrace,90,CA,1580537428,98,273.15,5.1,54.52,-128.6
537,Porvoo,75,FI,1580537313,100,275.37,5.1,60.4,25.67
538,Hancheng,100,CN,1580537431,42,286.65,3.62,32.52,112.35
539,Zyryanka,99,RU,1580537432,99,248.3,1.72,65.75,150.85
540,Sunrise Manor,1,US,1580537433,37,285.15,2.6,36.21,-115.07
541,Bereznik,92,RU,1580537435,98,246.32,1.38,62.86,42.71
542,New Kensington,90,US,1580537436,100,274.82,0.39,40.57,-79.76
543,Quelimane,75,MZ,1580537437,94,298.15,1.5,-17.88,36.89
544,Bucerias,90,MX,1580537438,83,295.37,3.46,20.75,-105.33
545,Kendrapara,0,IN,1580537440,64,297.15,2.6,20.5,86.42
546,Zambezi,100,ZM,1580537441,96,292.57,1.56,-13.54,23.1
547,Deputatsky,98,RU,1580537442,92,244.83,2.36,69.3,139.9
548,Port Hardy,90,CA,1580537443,100,282.15,2.55,50.7,-127.42
549,Igarka,100,RU,1580537445,96,244.82,4.85,67.47,86.58
